,1,2,3,,,,,,,,,,,固态或半固态废物特征,,,液态废物特征,固态废物特征,,,,,,,固态废物特征,液态废物特征,工业组成分析（单位%，总和=1）,,,,,元素组成（单位%，所有元素加和=1）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,物相组成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,污染物含量（mg/kg）数值型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,多环芳烃（mg/kg),,,,,,,,,,,,,,,,有机污染物（mg/kg）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,毒性浸出浓度（mg/L),,,,,,,,,,,,,,,,,,,
韩悦 2018 郭斌 2017,固相热处理渣,有色冶炼,铅水淬渣,,火法炼铅（如富氧熔炼+直接还原工艺及富氧闪速熔炼工艺等）烟化炉渣经水淬后产生的水淬渣,,,,固态,颗粒状,球状、粗糙、团聚,黑灰色,无刺激性气味,0.08,4500,,,,,,,,,9.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39,,,,,,31.23,27.92,,13.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韩悦 2018 郭斌 2017,固相热处理渣,有色冶炼,铅水淬渣,,火法炼铅（如富氧熔炼+直接还原工艺及富氧闪速熔炼工艺等）烟化炉渣经水淬后产生的水淬渣,,,,固态,颗粒状,球状、粗糙、团聚,黑灰色,无刺激性气味,0.08,4500,,,,,,,,,9.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15,,,,,,35.66,33.14,,15.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
采样检测,固相热处理渣,有色冶炼,挥发窑渣,,锌浸出渣挥发窑高温回收氧化锌处理工序产生的窑渣,,,,固态,块状,球状、粗糙、团聚,黑红色,无刺激性气味,4.26,,,,,,,,,,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,31.3,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,3.47,0.563,,0.0335,0.828,0.278,32.16,7.14,4.14,5.4,1.94,1.49,0.437,,,,,,,,,,0.103,2.04,2.02,0.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,47,,14,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.299,0.101,1.092,,0.163,,,,,,0.508,0.378,,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.323,0.00195,1.034,,,,,,0.3966,,0.00607,0.00519,,1.626,0.01799,,
韩悦 2018 郭斌 2017,固相热处理渣,有色冶炼,挥发窑渣,,锌浸出渣挥发窑高温回收氧化锌处理工序产生的窑渣,,,,固态,块状,球状、粗糙、团聚,黑红色,无刺激性气味,4.26,,,,,,,,,,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,31.3,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,4.98,0.563,,0.0335,0.828,0.278,40.77,16.45,4.14,6.39,1.94,1.49,0.437,,,,,,,,,,0.103,2.04,2.02,0.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,47,,14,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.299,0.101,1.092,,0.163,,,,,,0.508,0.378,,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.323,0.00195,1.034,,,,,,0.3966,,0.00607,0.00519,,1.626,0.01799,,
采样检测,固相热处理渣,有色冶炼,焙烧浸出渣,,锌精矿焙烧后浸出工段产生的焙烧浸出渣,,砷、铜、硫、铁、锌等,,固态,块状,球状、粗糙、团聚,黑红色,无刺激性气味,25.13,,,,,,,,,,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,0.295,1.36,,,0.267,,25.42,1.97,2.08,3,,2.15,0.0632,,,,,,,,,,0.0074,0.929,29.16,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,13,,,,,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.112,0.280,3.533,,5.183,,,,,,15.134,1.104,,0.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.411,2.096,3141,0.00971,,,,,72.46,,0.05519,,0.00678,0.03897,0.07905,,
采样检测,固相热处理渣,有色冶炼,除铜渣,,火法炼铅（如富氧熔炼+直接还原工艺及富氧闪速熔炼工艺等）精炼工段精炼炉产生的除铜渣,,PbO、As2O3、CuO,,固态,颗粒状,球状、粗糙、团聚,黑色,无刺激性气味,3.87,,,,,,,,,,12.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.101,0.295,0.132,0.285,,0.344,0.107,13.85,0.0059,,,,,,,,,,0.0075,8.84,,71.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,27,18,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.115,19.468,0.443,,0.370,,,,,,1.011,1.862,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6777,101.75,0.4873,0.00348,,,,,0.2279,,0.00538,,,0.5413,0.01562,,
采样检测,固相热处理渣,有色冶炼,精炼渣,,火法炼铅（如富氧熔炼+直接还原工艺及富氧闪速熔炼工艺等）精炼工段精炼炉产生的精炼渣,,PbO,,固态,颗粒状,球状、粗糙、团聚,黄色,无刺激性气味,0.17,,,,,,,,,,13.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0071,,,,0.355,,0.0082,0.0005,0.0104,,,0.0034,,,,,,,,,,,,0.228,98.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.954,5.039,7.129,,4.607,,,,,,14.709,1.137,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9298,1108.5,0.5855,,,,,,0.2604,,0.00691,,,0.64,0.03516,,
采样检测,固相热处理渣,有色冶炼,锌浮渣,,电解锌板熔铸工段生产锌锭产生的锌浮渣,,ZnO、SrO,,固态,颗粒状,球状、粗糙、团聚,黄色,无刺激性气味,1.93,,,,,,,,,,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1.75,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,0.073,,0.489,,,0.0173,,0.15,0.041,0.814,,0.0035,,,,,,,,,,0.0013,0.0022,97.04,0.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,0.321,19.005,,0.414,,,,,,1.314,0.078,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.616,0.00513,22.83,0.1621,,,,,0.437,,0.00683,0.00646,,1.425,0.01683,,
采样检测,固相热处理渣,有色冶炼,大修渣,,铝电解生产工艺电解预焙槽使用几年失效后更换下来的槽内衬产生的大修渣,,Al2O3、Na2O、SiO2、K2O、CaO、Fe2O3,,固态,颗粒状,球状、粗糙、团聚,黑灰色,无刺激性气味,1.14,,,,,,,,,,12.51,,,,,,,,,,,,,,,,,,,,,,,,,11.69,,,,4.37,6.25,9.01,,,1.03,,,,,,,,,,,,,,,,,,,,,1.56,,,,,,,,,,,,0.38,,,,60.06,0.048,,0.0553,3.79,5.41,2.66,3.88,0.0262,3.61,0.201,,0.249,,,,,,,,,,0.0304,0.0021,0.0915,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,36,16,14,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,0.004,0.090,,0.047,,,,,,0.117,0.010,,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5874,0.1767,0.1586,,,,,,0.304,,0.2031,0.00523,,2.007,0.02134,,
采样检测,固相热处理渣,有色冶炼,铝灰渣,,电解铝铸造过程熔体表面产生的铝灰渣,,Al2O3、K2O、Na2O、CaO、Fe2O3,,固态,颗粒状,球状、粗糙、团聚,灰白色,无刺激性气味,0.04,,,,,,,,,,6.03,,,,,,,,,,,,,,,,,,,,,,,,,19.3,,,,11.97,0.73,5.68,,,1.69,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,0.6,,,,54.74,0.091,,0.0898,10.82,6.78,4.49,0.71,0.0524,6.72,1.07,0.955,0.0106,,,,,,,,,,0.0384,0.0083,0.389,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,38,,25,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.006,0.057,,0.120,,,,,,0.193,0.017,,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2979,0.6199,0.5813,0.1943,,,,,0.4001,,1.765,,,0.5171,0.00261,,
采样检测,废水处理污泥,有色冶炼,铜砷渣,,铜火法冶炼烟气净化产生的污酸处理过程产生的砷渣,,As2O3、CuO、S,,固态,泥状,板状、光滑,棕红色,有刺激性气味,49.62,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,39.37,,,0.77,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.462,,,,0.0087,0.0619,0.102,,0.00037,0.0098,13.77,55.69,0.0056,,,,,,,,,,0.00017,14.8,0.0886,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,27,11,10,,,,,,,,,,,,,,,,,,,,,,6.598,0.063,7.354,,1.731,,,,,,5.538,0.356,,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.2,,40.9,,,,,,10.95,,0.7416,1.498,,2637,0.1368,,
采样检测,废水处理污泥,有色冶炼,铜砷渣,,铜火法冶炼烟气净化产生的污酸处理过程产生的砷渣,,As2O3、S、PbO,,固态,泥状,板状、光滑,棕红色,有刺激性气味,52.71,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,48.08,,,,,,,,,0.056,,,0.186,0.147,,,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.446,,,,0.141,,,,,0.0174,,,0.001,0.0099,10.83,68.84,,,,,,,,,,,,3.81,0.156,10.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,0.403,0.159,5.991,,3.291,,,,,,9.804,0.667,,1.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7206,1.049,11.94,,,,,,56.27,,0.4124,12.776,,141.52,0.077,,
